model,accuracy
roberta_sentiment_nltk,71.06
roberta_sentiment_spacy,55.67
vader_sentiment_nltk,41.38
vader_sentiment_spacy,41.14
textblob_sentiment_spacy,29.77
textblob_sentiment_nltk,26.36
