name,addr:street,addr:housenumber,amenity,cuisine,geometry
,,,cafe,coffee_shop,POINT (30.7902214 46.5760883)
,,,restaurant,no_info,POINT (30.7507468 46.4276964)
,,,cafe,no_info,POINT (30.7547431 46.4223214)
,,,cafe,no_info,POINT (30.7615029 46.4198563)
,,,cafe,no_info,POINT (30.755057 46.4787662)
,,,cafe,no_info,POINT (30.75504 46.4787229)
,,,cafe,no_info,POINT (30.7550288 46.4786834)
,,,cafe,no_info,POINT (30.7216727 46.3749406)
,,,restaurant,sushi,POINT (30.7269762 46.4361744)
,,,cafe,no_info,POINT (30.7315298 46.4058305)
,,,restaurant,pizza,POINT (30.747507 46.4332038)
,,,fast_food,no_info,POINT (30.7556613 46.4400853)
,,,cafe,no_info,POINT (30.7255257 46.4222039)
,,,cafe,no_info,POINT (30.7958037 46.5836451)
,,,cafe,coffee_shop,POINT (30.7265674 46.4813316)
,,,cafe,coffee_shop,POINT (30.7313516 46.4306174)
,,,cafe,no_info,POINT (30.7281416 46.4324169)
,,,restaurant,no_info,POINT (30.7358603 46.4063875)
,,,cafe,no_info,POINT (30.748134 46.433885)
,,,cafe,no_info,POINT (30.74784 46.4344843)
,,,cafe,no_info,POINT (30.7454847 46.4327375)
,вулиця Богдана Хмельницького,98,cafe,american;arab;burger;coffee_shop;grill;hotdog;oriental,POINT (30.7141132 46.4633085)
,,,cafe,no_info,POINT (30.7292817 46.4256829)
,,,cafe,no_info,POINT (30.7252072 46.4128291)
