name:en,addr:street,addr:housenumber,category,geometry
,проспект Князя Ярослава Мудрого,26,Mall / Supermarket,POINT (30.717110500000004 46.39905579999999)
Tavria V,,,Mall / Supermarket,POINT (30.718937200000003 46.4684153)
Ukrferry,,,Office / Business Center,POINT (30.749190400000003 46.4795918)
Kopeyka,проспект Князя Володимира Великого,130/5,Mall / Supermarket,POINT (30.8026316 46.594640999999996)
Silpo,,,Mall / Supermarket,POINT (30.7894441 46.56788389999999)
Tavria-V,,,Mall / Supermarket,POINT (30.7119757 46.472622)
,вулиця Добровольців,18,Office / Business Center,POINT (30.749754200000005 46.44322590000001)
Obzhora,,,Mall / Supermarket,POINT (30.7392832 46.48614049999999)
,,,Entertainment,POINT (30.722356299999994 46.490178199999995)
,,,Sport Facility,POINT (30.796940999999997 46.575853)
Silpo,,,Mall / Supermarket,POINT (30.710589 46.41550300000001)
,,,Tourism / Beach,POINT (30.7636672 46.5517682)
Limon,,,Entertainment,POINT (30.765588000000005 46.5523141)
Florida,,,Entertainment,POINT (30.766102099999998 46.552433900000004)
Planeta Kino,вулиця Давида Ойстраха,32,Entertainment,POINT (30.793864400000004 46.5846343)
Silpo,,,Mall / Supermarket,POINT (30.800340500000004 46.58613)
,,,Mall / Supermarket,POINT (30.7388611 46.4721004)
,,,Entertainment,POINT (30.7247418 46.49666529999999)
,,,Tourism / Beach,POINT (30.7454543 46.3905849)
,,,University,POINT (30.739764300000004 46.4784591)
,,,University,POINT (30.744133 46.4787854)
,,,Office / Business Center,POINT (30.7503058 46.4815953)
,,,University,POINT (30.747224799999994 46.474466099999994)
,,,Office / Business Center,POINT (30.7360217 46.4756294)
,,,University,POINT (30.736261899999995 46.47552259999999)
,,,Office / Business Center,POINT (30.738969899999997 46.4729392)
,,,Office / Business Center,POINT (30.7427236 46.4692171)
,,,Office / Business Center,POINT (30.7426611 46.468976899999994)
Consulate of Slovenia,,,Office / Business Center,POINT (30.6796635 46.46633659999999)
Odesa-Holovna,,,Transport Hub,POINT (30.7406995 46.4666018)
,,,Sport Facility,POINT (30.7593613 46.43413089999999)
,,,Office / Business Center,POINT (30.7249658 46.50126269999999)
General consulate of Belarus,,,Office / Business Center,POINT (30.7554175 46.4712615)
General consulate of Armenia,,,Office / Business Center,POINT (30.7238262 46.47971879999999)
,,,Office / Business Center,POINT (30.769220199999996 46.4398583)
EUBAM UCRAINA,,,Office / Business Center,POINT (30.7549711 46.46662680000001)
Honorable consulate of Austria,,,Office / Business Center,POINT (30.7416002 46.48212339999999)
Honorary consulate of Germany,,,Office / Business Center,POINT (30.741983800000003 46.4847429)
,,,Office / Business Center,POINT (30.7481412 46.43870939999999)
,,,Office / Business Center,POINT (30.748055199999996 46.4386607)
