name:en,addr:street,addr:housenumber,category,geometry
Digitally Inspired,,,Office / Business Center,POINT (30.758139099999994 46.43816609999999)
ATB-Market,вулиця Добровольців,8,Mall / Supermarket,POINT (30.745860499999996 46.4467757)
SkyFit,,,Sport Facility,POINT (30.782157000000005 46.5752767)
,,,Office / Business Center,POINT (30.663473100000004 46.490869700000005)
Tavria V,,,Mall / Supermarket,POINT (30.7211491 46.4541578)
TavriaV,,,Mall / Supermarket,POINT (30.753126299999995 46.431449)
Tavria‑V,вулиця Інглезі,3а,Mall / Supermarket,POINT (30.7158169 46.418394299999996)
Two Steps,проспект Князя Володимира Великого,139/1,Mall / Supermarket,POINT (30.792356899999994 46.5892161)
,,,Sport Facility,POINT (30.8057332 46.580277699999996)
Vash bassein,проспект Небесної Сотні,4в,Office / Business Center,POINT (30.7090411 46.4021831)
,вулиця Михайла Грушевського,30б,Mall / Supermarket,POINT (30.690140699999997 46.4807308)
ATB-Market,,,Mall / Supermarket,POINT (30.7143657 46.38701770000001)
Tavria V,Тополина вулиця,10а,Mall / Supermarket,POINT (30.723911300000005 46.41184619999999)
In Jamalas home,,,Entertainment,POINT (30.70928 46.482801)
Translation Agency Slovo,вулиця Космонавтів,17,Office / Business Center,POINT (30.712786700000002 46.428983699999996)
Translation Agency Slovo,вулиця Пастера,17,Office / Business Center,POINT (30.7239187 46.4920623)
Silpo,,,Mall / Supermarket,POINT (30.7344632 46.47873010000001)
ATB-Market,Миколаївська дорога,170а,Mall / Supermarket,POINT (30.762324899999992 46.55325199999999)
,Фонтанська дорога,16/8,Sport Facility,POINT (30.7449577 46.43211459999999)
,,,Mall / Supermarket,POINT (30.7508718 46.4366513)
,,55e,Sport Facility,POINT (30.7283059 46.42319319999999)
,Дерибасівська вулиця,1,Sport Facility,POINT (30.744850399999997 46.4831463)
,,,Tourism / Beach,POINT (30.7530862 46.5748595)
Minimarket Kopeyka,Фонтанська дорога,16/8,Mall / Supermarket,POINT (30.745370799999996 46.43271399999999)
Silpo,,,Mall / Supermarket,POINT (30.738988799999998 46.48180789999999)
Products,,,Market,POINT (30.7228744 46.49792639999999)
,вулиця Євгена Танцюри,74,Mall / Supermarket,POINT (30.6951847 46.4403152)
ATB-Market,вулиця Героїв Оборони Одеси,60,Mall / Supermarket,POINT (30.784621799999996 46.5731395)
YES FITNESS,,,Sport Facility,POINT (30.729092500000004 46.38667679999999)
,,,Sport Facility,POINT (30.721765000000005 46.4128866)
Sirius,,,Sport Facility,POINT (30.800483400000005 46.59118320000001)
Lion Club,проспект Князя Володимира Великого,122/2,Sport Facility,POINT (30.798217499999993 46.591700499999995)
Marlow Navigation Ukraine,,,Office / Business Center,POINT (30.7342995 46.47656649999999)
,вулиця Маловського,3,Sport Facility,POINT (30.702160500000005 46.4864159)
,проспект Князя Володимира Великого,103,Mall / Supermarket,POINT (30.7834738 46.580754)
,проспект Князя Володимира Великого,103,Sport Facility,POINT (30.783345299999993 46.58060389999999)
,Європейська вулиця,1,Entertainment,POINT (30.739361999999993 46.4868014)
Tavria V,Запорізька вулиця,12,Mall / Supermarket,POINT (30.718311399999997 46.465758099999995)
Nice Club,Маразліївська вулиця,1/20,Entertainment,POINT (30.7548929 46.4794989)
Rozetka Pickup #6,Адміральський проспект,1,Office / Business Center,POINT (30.745704500000002 46.4368946)
,Дальницька вулиця,46,Office / Business Center,POINT (30.6964983 46.46610549999999)
,Рішельєвська вулиця,42,Office / Business Center,POINT (30.739123399999993 46.47587219999999)
,,,Office / Business Center,POINT (30.7345319 46.48240590000001)
,вулиця Героїв Оборони Одеси,76а,Sport Facility,POINT (30.784021000000003 46.57571909999999)
ATB-Market,вулиця Героїв Оборони Одеси,24,Mall / Supermarket,POINT (30.77867429999999 46.567274)
Translation Agency Slovo,проспект Князя Володимира Великого,92,Office / Business Center,POINT (30.7839758 46.578491299999996)
Oranta,проспект Князя Володимира Великого,92,Office / Business Center,POINT (30.7840238 46.578586800000004)
,,,Office / Business Center,POINT (30.7864823 46.57418499999999)
Avenue of Stars,,,Tourism / Beach,POINT (30.742323300000002 46.4849154)
Ukrainian Sea Ports Authority,,,Office / Business Center,POINT (30.7449178 46.484463999999996)
,,,Tourism / Beach,POINT (30.7346926 46.4895869)
Tavria V,вулиця Академіка Сахарова,34,Mall / Supermarket,POINT (30.807232000000003 46.57609899999999)
,,,Office / Business Center,POINT (30.752024999999993 46.417158)
,,,Office / Business Center,POINT (30.7315627 46.4734348)
ATB-Market,Балківська вулиця,199,Mall / Supermarket,POINT (30.707216299999995 46.46184319999999)
Zatoka portal,,,Office / Business Center,POINT (30.750764599999997 46.4341782)
,Михайлівська вулиця,8,Mall / Supermarket,POINT (30.7108275 46.4661361)
,,,Office / Business Center,POINT (30.79759 46.592389999999995)
Dispatcher,,,Office / Business Center,POINT (30.728893300000003 46.42614139999999)
Tavria-V,,,Mall / Supermarket,POINT (30.7312267 46.3726621)
,,,Office / Business Center,POINT (30.6569614 46.48472279999999)
,Велика Арнаутська вулиця,123,Office / Business Center,POINT (30.7275188 46.473307199999994)
Tavria-V,,,Mall / Supermarket,POINT (30.7376259 46.4328162)
,вулиця Академіка Вільямса,59/3,Mall / Supermarket,POINT (30.727406899999995 46.3873228)
,,,Mall / Supermarket,POINT (30.732325599999992 46.3860558)
,,,Office / Business Center,POINT (30.7349738 46.470058599999994)
Thrash!,,,Mall / Supermarket,POINT (30.7178837 46.3987659)
,Просьолкова вулиця,24,Office / Business Center,POINT (30.656732399999996 46.467877099999995)
,,,Entertainment,POINT (30.711470499999997 46.3558563)
Odesa-Mala,,,Transport Hub,POINT (30.7265316 46.455235099999996)
ATB-Market,,,Mall / Supermarket,POINT (30.732347700000002 46.3985333)
ATB-Market,,,Mall / Supermarket,POINT (30.7137604 46.43337429999999)
Odesa-Skhidna,,,Transport Hub,POINT (30.786128699999992 46.5943025)
,,,Mall / Supermarket,POINT (30.6730512 46.4696627)
ATB-Market,,,Mall / Supermarket,POINT (30.7155857 46.4183575)
,,,Mall / Supermarket,POINT (30.701634199999997 46.4387651)
,,,Office / Business Center,POINT (30.7316163 46.475511)
,вулиця Новощіпний Ряд,2,Office / Business Center,POINT (30.737704599999994 46.46824169999999)
ATB-Market,вулиця Владислава Бувалкіна,57г,Mall / Supermarket,POINT (30.802613500000003 46.5846651)
ATB-Market,вулиця Семена Палія,103Б,Mall / Supermarket,POINT (30.798574899999995 46.5780841)
,вулиця Семена Палія,94,Office / Business Center,POINT (30.79577739999999 46.5767579)
,вулиця Маршала Малиновського,27а,Mall / Supermarket,POINT (30.7195444 46.44005489999999)
,вулиця Паустовського,31Б,Mall / Supermarket,POINT (30.806883600000003 46.592608)
Briz,вулиця Владислава Бувалкіна,2,Office / Business Center,POINT (30.7929591 46.58971869999999)
Thrash!,,,Mall / Supermarket,POINT (30.781580800000004 46.5735231)
Thrash!,,,Mall / Supermarket,POINT (30.7067663 46.441506)
Thrash!,,,Mall / Supermarket,POINT (30.727847799999992 46.400346899999995)
Silpo,,,Mall / Supermarket,POINT (30.736890200000005 46.46807539999999)
,,,Mall / Supermarket,POINT (30.7233147 46.478816099999996)
Novodepovska,,,Transport Hub,POINT (30.638726099999996 46.48928889999999)
Odesa-Tovarna,,,Transport Hub,POINT (30.713972699999996 46.45559049999999)
,вулиця Семена Палія,103Б,Sport Facility,POINT (30.7986082 46.57823080000001)
,Люстдорфська дорога,52,Office / Business Center,POINT (30.726076000000003 46.4367378)
,Гаванна вулиця,9,Office / Business Center,POINT (30.736091600000005 46.4849039)
Silpo,,,Mall / Supermarket,POINT (30.753528000000003 46.41439499999999)
Silpo,,,Mall / Supermarket,POINT (30.75862499999999 46.435486999999995)
,,,Mall / Supermarket,POINT (30.730090799999992 46.43259369999999)
ATB-Market,,,Mall / Supermarket,POINT (30.705309500000002 46.4438059)
,,,Office / Business Center,POINT (30.739341100000004 46.484937099999996)
,,,Office / Business Center,POINT (30.7953345 46.57612019999999)
Anchor,,,Tourism / Beach,POINT (30.7425517 46.4850996)
,,,Tourism / Beach,POINT (30.752014500000005 46.4742817)
Silpo,,,Mall / Supermarket,POINT (30.757423000000003 46.45803399999999)
Silpo,,,Mall / Supermarket,POINT (30.756670399999994 46.4565065)
,,,Office / Business Center,POINT (30.709317800000004 46.4397256)
,,,Office / Business Center,POINT (30.750705600000003 46.4578245)
,,,Office / Business Center,POINT (30.7429929 46.4543765)
,,,Office / Business Center,POINT (30.748698 46.4559906)
,,,Office / Business Center,POINT (30.7495549 46.4562955)
,,,University,POINT (30.7428212 46.484132800000005)
,,,Office / Business Center,POINT (30.732575200000003 46.4348661)
,,,Office / Business Center,POINT (30.729600599999998 46.4302021)
,,,Office / Business Center,POINT (30.724285800000004 46.4308519)
,,,Office / Business Center,POINT (30.725382200000002 46.41792319999999)
Tavria V,,,Mall / Supermarket,POINT (30.7523149 46.4206177)
Vodafone,,,Office / Business Center,POINT (30.796368499999996 46.57714289999999)
,,,Office / Business Center,POINT (30.724105500000004 46.42656600000001)
,,,Office / Business Center,POINT (30.720687700000003 46.4395066)
,,,Sport Facility,POINT (30.725487499999993 46.4222766)
Economically autonomous structural subdivision «Professional college of communication and informatization OF State University of Intellectual Techologies and Communications»,,,University,POINT (30.7347778 46.4803923)
Arber,вулиця Чорноморського Козацтва,111,Office / Business Center,POINT (30.724108200000003 46.5138556)
,Преображенська вулиця,68,Office / Business Center,POINT (30.7316793 46.476000899999995)
oak Black Night 1792,,,Tourism / Beach,POINT (30.749711599999998 46.46053950000001)
Notary Berzin-Usova Iryna,,,Office / Business Center,POINT (30.743469400000002 46.4483478)
Advocate Serhii Berzin (Lawyer),проспект Шевченка,12/1,Office / Business Center,POINT (30.755180399999993 46.4501248)
,вулиця Паустовського,31Б,Sport Facility,POINT (30.806840999999995 46.5927307)
ATB-Market,вулиця Семена Палія,99в,Mall / Supermarket,POINT (30.794787300000003 46.57284119999999)
,Махачкалинська вулиця,2,Sport Facility,POINT (30.8038816 46.58960149999999)
Silpo,,,Mall / Supermarket,POINT (30.752445200000004 46.41495509999999)
Tavria V,проспект Небесної Сотні,29/2,Mall / Supermarket,POINT (30.713541400000004 46.41231859999999)
,,,Office / Business Center,POINT (30.730215799999996 46.433406)
,проспект Князя Володимира Великого,122/1а,Mall / Supermarket,POINT (30.797595799999996 46.5909923)
Thrash!,,,Mall / Supermarket,POINT (30.720864 46.42800799999999)
Thrash!,,,Mall / Supermarket,POINT (30.762743 46.5540199)
,,,Sport Facility,POINT (30.7537125 46.4233782)
,,,Office / Business Center,POINT (30.7501932 46.4282478)
Univera,,,Office / Business Center,POINT (30.741744300000004 46.4789827)
,": вулиця Катерининська, 37/ Одеса",37,Office / Business Center,POINT (30.738334399999996 46.4788822)
,,,Sport Facility,POINT (30.724361199999997 46.4270765)
,,,Office / Business Center,POINT (30.722942000000003 46.425578300000005)
Lawyer Serhii Berzin,,,Office / Business Center,POINT (30.755922499999997 46.44024129999999)
,,,Office / Business Center,POINT (30.747748599999998 46.43273789999999)
,,,Sport Facility,POINT (30.729692700000005 46.43714159999999)
,,,Mall / Supermarket,POINT (30.73648529999999 46.43646559999999)
,,,Sport Facility,POINT (30.747383199999994 46.4383103)
,,,Office / Business Center,POINT (30.752024299999995 46.417120399999995)
,,37,Office / Business Center,POINT (30.711823599999992 46.47459609999999)
,,,Office / Business Center,POINT (30.714341899999994 46.474725199999995)
,,,Office / Business Center,POINT (30.739347599999995 46.4610068)
,,,Office / Business Center,POINT (30.722793100000004 46.4339942)
,,,Entertainment,POINT (30.758888099999997 46.4459354)
,,,Entertainment,POINT (30.760374700000003 46.4460281)
,,,Sport Facility,POINT (30.723729599999995 46.4743805)
ATB-Market,,,Mall / Supermarket,POINT (30.7541754 46.4141644)
,,,Sport Facility,POINT (30.743749399999995 46.4302164)
,1-ша Сортувальна вулиця,36-Г,Office / Business Center,POINT (30.7584674 46.554831699999994)
,,,Office / Business Center,POINT (30.730375 46.43704269999999)
,,,Mall / Supermarket,POINT (30.716399000000003 46.460830599999994)
,,,Mall / Supermarket,POINT (30.7175552 46.4672384)
,,,Office / Business Center,POINT (30.749816099999997 46.430779400000006)
,,,Sport Facility,POINT (30.7339713 46.4084989)
,,,Office / Business Center,POINT (30.730927799999993 46.4777881)
,,,Office / Business Center,POINT (30.729748999999998 46.4261146)
,,,Office / Business Center,POINT (30.730422599999997 46.4234175)
,,,Office / Business Center,POINT (30.729924799999996 46.4308912)
,,,Office / Business Center,POINT (30.726578399999994 46.43828419999999)
,вулиця Новосельського,81,Office / Business Center,POINT (30.727989900000004 46.4806642)
,,,Office / Business Center,POINT (30.718577499999995 46.46605929999999)
,,,Mall / Supermarket,POINT (30.758730399999997 46.4203352)
,,,Office / Business Center,POINT (30.7934208 46.5743975)
,Марсельська вулиця,46/4,Mall / Supermarket,POINT (30.796914600000004 46.5702656)
,,,Sport Facility,POINT (30.750014399999998 46.437310599999996)
,,,Office / Business Center,POINT (30.7392587 46.4765769)
,,,Mall / Supermarket,POINT (30.7163263 46.383564)
,,,Market,POINT (30.721300799999998 46.47720269999999)
,вулиця Леонтовича,5,Office / Business Center,POINT (30.754196000000004 46.47116299999999)
,,,Tourism / Beach,POINT (30.6682832 46.4829138)
ATB-Market,Середньофонтанська вулиця,19-А,Mall / Supermarket,POINT (30.740360199999998 46.4588795)
,вулиця Багрицького,12б,University,POINT (30.721744400000002 46.44282979999999)
Professional College of Measurements,Спиридонівська вулиця,13,University,POINT (30.7280678 46.479999299999996)
,Заболот.63/1,63/1,Transport Hub,POINT (30.79659549999999 46.570850899999996)
,,,Office / Business Center,POINT (30.7995155 46.57308309999999)
,Марсельська вулиця,,Tourism / Beach,POINT (30.800064299999992 46.570859399999996)
,,,Transport Hub,POINT (30.8000615 46.57088149999999)
,,63,Transport Hub,POINT (30.799541399999995 46.5731678)
,,58,Transport Hub,POINT (30.8000431 46.5718095)
,Марсельська вулиця,,Transport Hub,POINT (30.800244699999993 46.5711347)
,,марсельская 58,Transport Hub,POINT (30.8001204 46.570942)
,заболот. 63/1,,Transport Hub,POINT (30.799768000000004 46.57367479999999)
,Марсельська вулиця,,Transport Hub,POINT (30.800072399999994 46.570876299999995)
,заболот.63,,Transport Hub,POINT (30.799731099999995 46.57365339999999)
,,,Sport Facility,POINT (30.748946099999998 46.4462425)
,,,Sport Facility,POINT (30.749227699999995 46.44561420000001)
giant sycamore,,,Tourism / Beach,POINT (30.708960500000003 46.4251262)
,,,Sport Facility,POINT (30.6805591 46.48788239999999)
,,,Sport Facility,POINT (30.679307200000004 46.4883667)
,,,Market,POINT (30.681027000000004 46.48659109999999)
,,,Sport Facility,POINT (30.7180336 46.4057395)
,,,Tourism / Beach,POINT (30.7190905 46.5754803)
,,,Office / Business Center,POINT (30.753833100000005 46.4232912)
,,,Office / Business Center,POINT (30.6862366 46.4602411)
,,,Office / Business Center,POINT (30.713752100000004 46.4705335)
,,,Office / Business Center,POINT (30.717948799999995 46.467548099999995)
,,,Office / Business Center,POINT (30.7180291 46.4676038)
,Пишоновская улица,26/2,Mall / Supermarket,POINT (30.713032800000004 46.48618249999999)
,,,Office / Business Center,POINT (30.729175300000005 46.4263013)
,,,Office / Business Center,POINT (30.7246929 46.413426400000006)
,,,Sport Facility,POINT (30.724796099999995 46.4134306)
,,,Sport Facility,POINT (30.725324500000003 46.4134638)
,,,Sport Facility,POINT (30.725494199999993 46.41262290000001)
,,,Sport Facility,POINT (30.750795524231545 46.44852086596738)
,,,Sport Facility,POINT (30.756971502284017 46.462234968957034)
Novyi Bazar,Торгова вулиця,26,Market,POINT (30.724490646039378 46.487780650849224)
,Італійська вулиця,72,Mall / Supermarket,POINT (30.740484356972967 46.47078265421253)
Odesa National Academic Theatre of Opera and Ballet,провулок Чайковського,1,Tourism / Beach,POINT (30.741202561970454 46.48547914550106)
Odesa National Academic Theatre of Opera and Ballet,провулок Чайковського,1,Entertainment,POINT (30.741202561970454 46.48547914550106)
,Успенська вулиця,91,University,POINT (30.734305172438738 46.47564659917362)
Palace of Sports,проспект Шевченка,31,Sport Facility,POINT (30.7599438479874 46.446114585662805)
,,25,Tourism / Beach,POINT (30.73952775060596 46.477925950060566)
,,23,Office / Business Center,POINT (30.739682613137763 46.48086074370148)
General Consulate of Greece,,32,Office / Business Center,POINT (30.733015656857585 46.484719214984544)
Europa Shopping Center,Дерибасівська вулиця,21,Mall / Supermarket,POINT (30.73754873435917 46.483802723965056)
Virtus,,,Mall / Supermarket,POINT (30.752348881881097 46.426259940612994)
,Шампанський провулок,11,University,POINT (30.75031964178894 46.449061589874944)
,проспект Лесі Українки,25,Office / Business Center,POINT (30.743615643594804 46.45366092562774)
Sady Pobedy,Академічна вулиця,28,Mall / Supermarket,POINT (30.758118628393067 46.439696506019644)
,,6а,Sport Facility,POINT (30.74673280816421 46.43820722949355)
Tavria V,вулиця Академіка Корольова,120,Mall / Supermarket,POINT (30.72176152203242 46.38547206371341)
Cinema Park,Варненська вулиця,4а,Entertainment,POINT (30.718477127154124 46.42869913139729)
Cheremushky Market,,,Market,POINT (30.712694336143024 46.43210970316501)
,Канатна вулиця,83,Office / Business Center,POINT (30.74659507857347 46.46581201958048)
,,,Tourism / Beach,POINT (30.716426799576244 46.43064054650845)
,,,University,POINT (30.742129979696244 46.480178950998024)
,,1/1,Mall / Supermarket,POINT (30.734727693033157 46.46584758128305)
,,40,Office / Business Center,POINT (30.72557252899684 46.5050374321491)
,,,Market,POINT (30.70337033593376 46.49283232120505)
,,1,Office / Business Center,POINT (30.735559255384864 46.46605647347043)
Simia,вулиця Семена Палія,93а,Mall / Supermarket,POINT (30.796995897432332 46.575306973261206)
Panorama,площа Незалежності,1,Mall / Supermarket,POINT (30.72455561997452 46.39811307059996)
Zolotyi Diuk,проспект Князя Ярослава Мудрого,11ж,Entertainment,POINT (30.725313716697325 46.39847098588688)
,вулиця Решата Аметова,23а,Office / Business Center,POINT (30.75065016044594 46.45483787733538)
Maersk Crewing,вулиця Незалежності,18а,Office / Business Center,POINT (30.75043709810115 46.45109573583692)
,вулиця Незалежності,18,Office / Business Center,POINT (30.750234085023553 46.45140780280733)
,,12,Office / Business Center,POINT (30.754697202594283 46.45053968388049)
,Артилерійська вулиця,4 будинок,Office / Business Center,POINT (30.738363022405537 46.45071819985035)
,проспект Шевченка,15/1,Office / Business Center,POINT (30.753153111513168 46.454343191802614)
,проспект Князя Ярослава Мудрого,11/1,Mall / Supermarket,POINT (30.728266288524875 46.396419256816095)
,проспект Князя Ярослава Мудрого,29,Office / Business Center,POINT (30.710594877120762 46.39699563338049)
,проспект Князя Ярослава Мудрого,29а,Mall / Supermarket,POINT (30.708940507058102 46.39651651503334)
,,,Market,POINT (30.72824034328693 46.39990157254185)
,Люстдорфська дорога,172/2,Sport Facility,POINT (30.731184935480318 46.39514457036927)
,Люстдорфська дорога,86,Office / Business Center,POINT (30.726569689353095 46.4286091618552)
Silpo,Люстдорфська дорога,54/1,Mall / Supermarket,POINT (30.725675878269186 46.43508073181564)
,вулиця Григорія Зленка,3а,University,POINT (30.73267020652311 46.441307424646354)
ATB-Market,,,Mall / Supermarket,POINT (30.723112933225536 46.402018185284575)
ATB-Market,вулиця Академіка Корольова,15,Mall / Supermarket,POINT (30.721692463194263 46.40755216079067)
,вулиця Академіка Корольова,9,Office / Business Center,POINT (30.721316627706145 46.40999404152647)
Silpo,вулиця Корольова,44,Mall / Supermarket,POINT (30.721222731339182 46.40560679012005)
Tairovskyi Shopping Center,вулиця Євгена Чикаленка,9а,Mall / Supermarket,POINT (30.724347495833296 46.39084421200311)
,,79а,Sport Facility,POINT (30.71747748666678 46.387955803785495)
,Італійська вулиця,47,Sport Facility,POINT (30.742108238658197 46.474716825784654)
,,26,University,POINT (30.741856344753078 46.47834630963758)
,Дерибасівська вулиця,8,Office / Business Center,POINT (30.74222124486973 46.48412911125192)
,Єврейська вулиця,26,Office / Business Center,POINT (30.73963402058409 46.47845917440307)
,Європейська вулиця,37,Office / Business Center,POINT (30.73841715123847 46.478924604209034)
Kadorr Mall,Європейська вулиця,27,Mall / Supermarket,POINT (30.73914982413286 46.4818538371741)
,вулиця Святослава Караванського,25,Office / Business Center,POINT (30.738534316251325 46.47931942415994)
,вулиця Бабеля,2,Office / Business Center,POINT (30.70883740000023 46.46844630011217)
,Михайлівська площа,17,University,POINT (30.709874812329712 46.46740626239392)
Odesa Theater of Young People named after Mykola Ostrovskyi,Грецька вулиця,48а,Entertainment,POINT (30.73373578649703 46.483339925699674)
,,44,Office / Business Center,POINT (30.736372294800983 46.48311370750319)
Odesa Academic Drama Theater,Грецька вулиця,48,Entertainment,POINT (30.7341689361616 46.4833203740532)
,вулиця Ніни Строкатої,31,Office / Business Center,POINT (30.736637940491462 46.48098830005637)
,Польська вулиця,20а,Office / Business Center,POINT (30.74393986537481 46.47896773867883)
,Троїцька вулиця,43,Office / Business Center,POINT (30.736083038532144 46.47670858320986)
,Канатна вулиця,51,Office / Business Center,POINT (30.747632562705327 46.4740104033133)
,Базарна вулиця,60,Office / Business Center,POINT (30.74211548144413 46.47412869127595)
Consulate of Poland,Успенська вулиця,2/1,Office / Business Center,POINT (30.752704899991922 46.474910150071885)
,Велика Арнаутська вулиця,15,Office / Business Center,POINT (30.750554121405816 46.471570695916434)
Uniqa Park Tower,Велика Арнаутська вулиця,72/74,Office / Business Center,POINT (30.73364379996604 46.47340670016198)
,Базарна вулиця,63,Office / Business Center,POINT (30.732212349994406 46.47427190032231)
,Маразліївська вулиця,14а,Office / Business Center,POINT (30.75013956036058 46.48163325149008)
,Успенська вулиця,4б/1,University,POINT (30.75076169999532 46.475692650336306)
,Люстдорфська дорога,96а,Entertainment,POINT (30.72178033715482 46.41680227563388)
,Військовий узвіз,1,Office / Business Center,POINT (30.735948534593113 46.48706296060114)
,вулиця Гоголя,7,Tourism / Beach,POINT (30.73585373203526 46.48965063215839)
,,2,Tourism / Beach,POINT (30.735023379755564 46.49077830570651)
Odesa I. I. Mechnykov National University,вулиця Всеволода Змієнка,2,University,POINT (30.731125601213964 46.487532603928855)
,вулиця Пастера,15,Entertainment,POINT (30.72687500855458 46.490642384465055)
,вулиця Новосельського,64,University,POINT (30.72269867470946 46.48424076782026)
Tavria V,Преображенська вулиця,25,Mall / Supermarket,POINT (30.731978899577584 46.48204944805945)
,Ніжинська вулиця,44,Office / Business Center,POINT (30.72642657998758 46.48335274021245)
,Ковальська вулиця,13,Office / Business Center,POINT (30.72440405118074 46.481379049471414)
Theatre Liceum,Спиридонівська вулиця,10,University,POINT (30.72843544628407 46.48069638576509)
,Преображенська вулиця,33,Office / Business Center,POINT (30.731596713388704 46.479057869608226)
,Ольгіївська вулиця,18,Office / Business Center,POINT (30.721613272616054 46.49035651449185)
Tavria V,Валіховський провулок,10а,Mall / Supermarket,POINT (30.72302245980409 46.493352581526636)
,,2,Office / Business Center,POINT (30.72089215338776 46.480004606641835)
,,58,Sport Facility,POINT (30.710242047104696 46.475142879928526)
,,6,Office / Business Center,POINT (30.722741053622048 46.471608312799106)
,,28,Office / Business Center,POINT (30.71907796223208 46.46910197531181)
,Головківська вулиця,36а,Office / Business Center,POINT (30.70773035479579 46.465658221097016)
,,,Sport Facility,POINT (30.710850024090732 46.46522467477479)
,,9,Office / Business Center,POINT (30.70892759799628 46.47045573659702)
,,7,Sport Facility,POINT (30.7200088217815 46.479297320806374)
,,21,Office / Business Center,POINT (30.72178366963676 46.469880818152895)
Rodina,Старопортофранківська вулиця,44,Entertainment,POINT (30.727819675938942 46.469574694922905)
,,65,University,POINT (30.714062925494776 46.462605250340836)
,,44,Office / Business Center,POINT (30.713163321749622 46.46229403576561)
Obzhora,Степова вулиця,30,Mall / Supermarket,POINT (30.713098614217717 46.4637862830475)
,,32д,University,POINT (30.68973091488203 46.461022926353735)
,,2д,University,POINT (30.690161363575484 46.46170876205818)
,Італійський бульвар,11,Tourism / Beach,POINT (30.745705224575524 46.46814895967084)
Ostriv Shopping Mall,вулиця Новощіпний Ряд,2,Mall / Supermarket,POINT (30.737520677495727 46.46900393105185)
Palladium,Італійський бульвар,4,Entertainment,POINT (30.7461141634445 46.46805036860776)
,Пантелеймонівська вулиця,23,Mall / Supermarket,POINT (30.73403841625843 46.46959332685964)
,Пантелеймонівська вулиця,27,Mall / Supermarket,POINT (30.731303575560244 46.46979564761914)
,Привокзальний провулок,2,Tourism / Beach,POINT (30.739030887063358 46.468099048581934)
,Французький бульвар,7,Office / Business Center,POINT (30.753788056028885 46.46650742920627)
,,4а,Sport Facility,POINT (30.756173461576466 46.46894872459286)
,Відрадна вулиця,3,Office / Business Center,POINT (30.75679378306896 46.467177994259615)
,Ясна вулиця,6,Office / Business Center,POINT (30.754449842657827 46.4670623462891)
,,29,Office / Business Center,POINT (30.741636906161823 46.464418602810596)
,,92,Office / Business Center,POINT (30.74548256860652 46.46365598686877)
,Семінарська вулиця,5,Office / Business Center,POINT (30.749673399330263 46.46191748132615)
,2-й Куликовський провулок,4,Tourism / Beach,POINT (30.742998299985686 46.46358135012546)
,Пироговська вулиця,11,Office / Business Center,POINT (30.74985297106241 46.46366941581119)
,,124,Sport Facility,POINT (30.743693336509153 46.45718316678576)
,,3,Office / Business Center,POINT (30.739952093836486 46.45013222786055)
,,30б,Office / Business Center,POINT (30.738280256382748 46.454935459629716)
,Канатна вулиця,134,Office / Business Center,POINT (30.743074249347252 46.45489053772512)
,,15а,Office / Business Center,POINT (30.72126087852834 46.43339730163293)
,,3а,Office / Business Center,POINT (30.71205751993794 46.43653460024724)
,,29а,Entertainment,POINT (30.71518188612048 46.43532730175953)
,площа Бориса Деревʼянка,2,Mall / Supermarket,POINT (30.704972085497396 46.44309018079838)
,,21а,Office / Business Center,POINT (30.705733849292585 46.42932778436137)
Silpo,вулиця Євгена Танцюри,51,Mall / Supermarket,POINT (30.702286151906762 46.433130768196136)
,вулиця Євгена Танцюри,22,Office / Business Center,POINT (30.708508225331578 46.431896407824595)
,вулиця Івана та Юрія Лип,13,Office / Business Center,POINT (30.707397985991243 46.432607948827034)
ATB-Market,вулиця Євгена Танцюри,32,Mall / Supermarket,POINT (30.703737668172725 46.43375345467835)
Tavria V,Генуезька вулиця,36,Mall / Supermarket,POINT (30.759271317323858 46.434146459791094)
,,10,Office / Business Center,POINT (30.726085471972624 46.46579610032028)
,Високий провулок,13,Office / Business Center,POINT (30.72639724985536 46.462646150165185)
,,19,Office / Business Center,POINT (30.713965002387237 46.45743611923081)
,,19,Sport Facility,POINT (30.714555758727744 46.458030524444936)
,,,Office / Business Center,POINT (30.72603968344496 46.42819346079799)
,Грецька площа,3/4,Mall / Supermarket,POINT (30.735570297135208 46.48285194736147)
Complex 1,вулиця Толбухіна,135,Mall / Supermarket,POINT (30.730816603719447 46.42704338519968)
,,,Mall / Supermarket,POINT (30.755838505989566 46.4139867516663)
Obzhora,,,Mall / Supermarket,POINT (30.719614291994414 46.41144866955409)
Kopiika,проспект Небесної Сотні,65а,Mall / Supermarket,POINT (30.711342402695777 46.405610874715265)
Ideal,проспект Князя Володимира Великого,129а,Mall / Supermarket,POINT (30.790128965029655 46.5873551309214)
Silpo,вулиця Владислава Бувалкіна,13а,Mall / Supermarket,POINT (30.789033419431874 46.59049582312121)
,вулиця Академіка Заболотного,24,Mall / Supermarket,POINT (30.779128899143217 46.58567097910711)
,,,Market,POINT (30.77862986744479 46.58549264426156)
,проспект Князя Володимира Великого,106,Office / Business Center,POINT (30.79055353752237 46.584364884916205)
Pivnychnyi Market,проспект Князя Володимира Великого,114/2,Market,POINT (30.793882795019794 46.587265227904815)
,,54,University,POINT (30.70452580244523 46.47920422447145)
,,14а,Office / Business Center,POINT (30.7385061255297 46.4608757932546)
,,,Office / Business Center,POINT (30.731157264211753 46.45684505579368)
