geometry,population,h3_index,count_cafe,count_university,count_restaurant,count_tourism,count_sport,count_office,count_fastfood,count_transport,count_entertainment,count_bar_pub,count_market,count_mall,population_neigh,count_cafe_neigh,count_university_neigh,count_restaurant_neigh,count_tourism_neigh,count_sport_neigh,count_office_neigh,count_fastfood_neigh,count_transport_neigh,count_entertainment_neigh,count_bar_pub_neigh,count_market_neigh,count_mall_neigh
"POLYGON ((30.723640710612944 46.368428958423685, 30.726651161818726 46.3726414647935, 30.73377622423678 46.372882050244186, 30.735910727053817 46.370821211561, 30.7354069 46.3704596, 30.7353824 46.3702921, 30.7352532 46.3701819, 30.7350973 46.3701452, 30.7350897 46.3702475, 30.7350137 46.3702869, 30.7346146 46.3701164, 30.7343203 46.3699646, 30.7341153 46.3698853, 30.7340231 46.3699107, 30.7337171 46.3697734, 30.7332599 46.3695164, 30.7329687 46.3692976, 30.7322663 46.3689456, 30.7313617 46.3684899, 30.731041 46.3683212, 30.7306957 46.3681354, 30.7305536 46.3680182, 30.7305051 46.3678593, 30.7302879 46.367661, 30.7303611 46.367577, 30.730481 46.3673533, 30.7303914 46.3673356, 30.7302591 46.3674126, 30.7301198 46.3674126, 30.7299946 46.3674029, 30.7293194 46.3672217, 30.7292177 46.3671082, 30.7289184 46.3669643, 30.7287233 46.3668576, 30.728573 46.3666869, 30.7288226 46.3662703, 30.7286553 46.3662158, 30.7284482 46.3665548, 30.7283309 46.3665282, 30.7282498 46.3665823, 30.7281824 46.366596, 30.7280709 46.366574, 30.727878 46.366513, 30.7270375 46.3660392, 30.72646005856127 46.36570726511656, 30.723640710612944 46.368428958423685))",1826.0,881e5d5043fffff,1,0,0,1,0,1,0,0,0,0,0,1,4873.0,1,0,0,2,0,0,0,0,0,0,0,0
"POLYGON ((30.72253641047399 46.37661286387894, 30.726651161818726 46.3726414647935, 30.723640710612944 46.368428958423685, 30.716515862980597 46.36818767993463, 30.71392425090747 46.37068867710797, 30.7139081 46.3724278, 30.7139723 46.372453, 30.7149526 46.3726373, 30.7156938 46.3728181, 30.7166818 46.3731339, 30.7218791 46.3751701, 30.720004920884218 46.376527160265915, 30.72253641047399 46.37661286387894))",940.0,881e5d5041fffff,1,0,0,2,0,0,0,0,0,0,0,0,10547.0,1,0,0,1,0,1,0,0,0,0,0,2
"POLYGON ((30.73267294457942 46.38106552282783, 30.73678729295464 46.37709399363511, 30.73377622423678 46.372882050244186, 30.726651161818726 46.3726414647935, 30.72253641047399 46.37661286387894, 30.725547124423393 46.38082497851865, 30.73267294457942 46.38106552282783))",2584.0,881e5d504bfffff,0,0,0,0,0,0,0,0,0,0,0,0,16856.0,2,0,0,4,1,1,0,0,0,0,0,5
"POLYGON ((30.721431878074394 46.384796026890086, 30.725547124423393 46.38082497851865, 30.72253641047399 46.37661286387894, 30.720004920884218 46.376527160265915, 30.7187075 46.3774666, 30.7186584 46.3775022, 30.7190074 46.3778121, 30.7190353 46.3778467, 30.7190525 46.3779038, 30.7190511 46.3779903, 30.7188268 46.379361, 30.7185361 46.3809492, 30.7183902 46.3817204, 30.7182431 46.3824105, 30.7169463 46.382241, 30.7159944 46.3821137, 30.7156876 46.3820766, 30.7144896 46.3819163, 30.7137572 46.3818393, 30.7134445 46.3820729, 30.7136843 46.3822087, 30.7139426 46.3823559, 30.7144559 46.3826582, 30.7155041 46.3832325, 30.7153445 46.3835776, 30.7151945 46.3838857, 30.714840791956014 46.38457294722665, 30.721431878074394 46.384796026890086))",5489.0,881e5d5049fffff,0,0,0,0,0,0,0,0,0,0,0,1,12917.0,1,0,1,2,4,3,0,0,0,0,1,8
"POLYGON ((30.692625876118303 46.38411770372825, 30.6897657 46.3838392, 30.6896219 46.3841073, 30.688889973489058 46.38771978489162, 30.692625876118303 46.38411770372825))",236.0,881e5d5319fffff,0,0,0,0,0,0,0,0,0,0,0,0,2610.0,0,0,0,0,0,0,0,0,0,0,0,0
"POLYGON ((30.703062465270452 46.388283548918615, 30.70519184749332 46.388355808688466, 30.7048737 46.3870788, 30.7047007 46.3859189, 30.7037294 46.3859177, 30.701190614764748 46.38566392072932, 30.703062465270452 46.388283548918615))",3650.0,881e5d5227fffff,0,0,0,0,0,0,0,0,0,0,1,0,14187.0,0,0,1,0,3,5,0,0,0,0,1,9
"POLYGON ((30.731569432859025 46.389248252900366, 30.73568427618689 46.38527707439923, 30.73267294457942 46.38106552282783, 30.725547124423393 46.38082497851865, 30.721431878074394 46.384796026890086, 30.724442854809105 46.389007749696724, 30.731569432859025 46.389248252900366))",1562.0,881e5d5235fffff,0,0,0,0,1,0,0,0,0,0,0,3,24526.0,3,0,3,1,4,6,2,0,0,1,1,13
"POLYGON ((30.69181797582655 46.392011133567415, 30.698945423335513 46.39225363490453, 30.703062465270452 46.388283548918615, 30.701190614764748 46.38566392072932, 30.6963115 46.3851762, 30.6964195 46.3844871, 30.692625876118303 46.38411770372825, 30.688889973489058 46.38771978489162, 30.688859509206196 46.38787014392347, 30.69181797582655 46.392011133567415))",1729.0,881e5d5225fffff,0,0,0,0,0,0,0,0,0,0,0,0,7989.0,0,0,0,0,0,2,0,0,0,0,2,3
"POLYGON ((30.713199992311168 46.392737291707434, 30.720327113341686 46.392978447215285, 30.724442854809105 46.389007749696724, 30.721431878074394 46.384796026890086, 30.714840791956014 46.38457294722665, 30.7138792 46.3864413, 30.7138431 46.3874943, 30.7145213 46.3897989, 30.710700100412268 46.38923991430858, 30.713199992311168 46.392737291707434))",4181.0,881e5d5223fffff,0,0,1,0,3,3,0,0,0,0,0,5,21885.0,5,0,4,0,2,9,4,0,0,2,4,17
"POLYGON ((30.69181797582655 46.392011133567415, 30.688859509206196 46.38787014392347, 30.6880136 46.3920452, 30.6883255 46.3923552, 30.6882012 46.3929567, 30.6880269 46.3938003, 30.68970767679649 46.39404541606874, 30.69181797582655 46.392011133567415))",881.0,881e5d5353fffff,0,0,0,0,0,0,0,0,0,0,0,0,2399.0,0,0,0,0,0,0,0,0,0,0,0,0
"POLYGON ((30.703062465270452 46.388283548918615, 30.698945423335513 46.39225363490453, 30.701534705785253 46.39587664576682, 30.7016266 46.3958914, 30.7033432 46.3961739, 30.7046514 46.3963851, 30.7052242 46.39645, 30.705363052040475 46.39658129574114, 30.70908335282474 46.396707507995735, 30.713199992311168 46.392737291707434, 30.710700100412268 46.38923991430858, 30.7052121 46.3884371, 30.70519184749332 46.388355808688466, 30.703062465270452 46.388283548918615))",2788.0,881e5d5221fffff,0,0,0,0,0,2,0,0,0,0,1,3,26372.0,3,0,3,0,3,8,2,0,0,1,2,8
"POLYGON ((30.73046568900315 46.39743024021996, 30.734581027397827 46.39345941254926, 30.731569432859025 46.389248252900366, 30.724442854809105 46.389007749696724, 30.720327113341686 46.392978447215285, 30.723338352903415 46.39718977808591, 30.73046568900315 46.39743024021996))",1478.0,881e5d523dfffff,3,0,2,0,1,3,2,0,0,1,1,7,21946.0,8,1,6,0,5,14,7,0,1,2,2,18
"POLYGON ((30.698945423335513 46.39225363490453, 30.69181797582655 46.392011133567415, 30.68970767679649 46.39404541606874, 30.6943114 46.3947168, 30.6991334 46.3954911, 30.701534705785253 46.39587664576682, 30.698945423335513 46.39225363490453))",434.0,881e5d522dfffff,0,0,0,0,0,0,0,0,0,0,0,0,16258.0,1,0,0,0,0,3,0,0,0,0,1,3
"POLYGON ((30.719222116203397 46.401160124612716, 30.723338352903415 46.39718977808591, 30.720327113341686 46.392978447215285, 30.713199992311168 46.392737291707434, 30.70908335282474 46.396707507995735, 30.71209423706171 46.40091901002668, 30.719222116203397 46.401160124612716))",6918.0,881e5d522bfffff,2,0,2,0,0,4,2,0,0,1,1,3,31881.0,8,0,5,0,7,17,7,0,1,2,4,24
"MULTIPOLYGON (((30.707977102176898 46.404888875162, 30.71209423706171 46.40091901002668, 30.70908335282474 46.396707507995735, 30.705363052040475 46.39658129574114, 30.706946 46.3980781, 30.706959 46.3981388, 30.7071049 46.3982105, 30.7075935 46.3997067, 30.7079287 46.4008538, 30.7081738 46.4015909, 30.7086738 46.4031679, 30.7088242 46.4036279, 30.7083938 46.4036629, 30.7083567 46.4036928, 30.7083109 46.403741, 30.7080397 46.4037355, 30.7080504 46.4040222, 30.7078627 46.4040277, 30.7078493 46.404381, 30.7080048 46.4044753, 30.7079995 46.4047379, 30.707575178577848 46.404875243539635, 30.707977102176898 46.404888875162)), ((30.705535655881505 46.404806071181326, 30.7012807 46.404377, 30.7012087 46.4043801, 30.70109672654547 46.404655520657386, 30.705535655881505 46.404806071181326)))",9460.0,881e5d5229fffff,1,0,0,0,0,1,0,0,0,0,0,0,31513.0,3,0,2,0,2,7,2,0,0,1,3,10
"POLYGON ((30.72936171293937 46.40561148454495, 30.733477546515072 46.40164100784354, 30.73046568900315 46.39743024021996, 30.723338352903415 46.39718977808591, 30.719222116203397 46.401160124612716, 30.722233618633886 46.405371063444484, 30.72936171293937 46.40561148454495))",1731.0,881e5d5207fffff,4,0,2,0,1,7,5,0,1,1,1,6,31787.0,15,2,6,0,10,12,5,0,0,2,4,20
"MULTIPOLYGON (((30.686591511148933 46.40416222721817, 30.689601683693127 46.40837407138551, 30.696730647513004 46.408616491434024, 30.69986866483841 46.40559174774268, 30.6998134 46.4052373, 30.699639 46.4051485, 30.6996068 46.4053039, 30.6993467 46.405278, 30.6993252 46.4050154, 30.6990476 46.4049516, 30.6990597 46.404885, 30.699068 46.4047512, 30.6992661 46.4041389, 30.693601 46.4036061, 30.692657 46.4035072, 30.6903047 46.4032607, 30.68779926234424 46.40299822439438, 30.686591511148933 46.40416222721817)), ((30.700064196313793 46.405403274405764, 30.700044 46.4054038, 30.70003984499444 46.40542674671071, 30.700064196313793 46.405403274405764)))",1400.0,881e5d5267fffff,0,0,0,0,0,0,0,0,0,0,0,0,18195.0,2,0,0,0,0,1,0,0,0,0,0,1
"POLYGON ((30.71811688658698 46.40934105884083, 30.722233618633886 46.405371063444484, 30.719222116203397 46.401160124612716, 30.71209423706171 46.40091901002668, 30.707977102176898 46.404888875162, 30.71098824917815 46.40909998514066, 30.71811688658698 46.40934105884083))",12243.0,881e5d5205fffff,0,0,0,0,2,1,0,0,0,0,1,3,44101.0,20,0,6,0,8,16,8,0,2,2,3,22
"POLYGON ((30.67835324734618 46.41209989993649, 30.685482752801637 46.41234297299523, 30.689601683693127 46.40837407138551, 30.686591511148933 46.40416222721817, 30.68409565684158 46.40407711044301, 30.6834411 46.4097981, 30.6831036 46.4099845, 30.6828265 46.4099713, 30.6790955 46.4097641, 30.67825461347651 46.411961869130494, 30.67835324734618 46.41209989993649))",15.0,881e5d5265fffff,0,0,0,0,0,0,0,0,0,0,0,0,2008.0,0,0,0,0,0,0,0,0,0,0,0,0
"POLYGON ((30.696730647513004 46.408616491434024, 30.699741438737174 46.41282777249814, 30.70687061878072 46.41306949898425, 30.71098824917815 46.40909998514066, 30.707977102176898 46.404888875162, 30.707575178577848 46.404875243539635, 30.7074851 46.4049044, 30.7072545 46.4049794, 30.705535655881505 46.404806071181326, 30.70109672654547 46.404655520657386, 30.7009916 46.4049141, 30.7009131 46.405241, 30.7006395 46.405241, 30.7006127 46.405389, 30.700064196313793 46.405403274405764, 30.70003984499444 46.40542674671071, 30.7000065 46.4056109, 30.6998736 46.4056234, 30.69986866483841 46.40559174774268, 30.696730647513004 46.408616491434024))",7730.0,881e5d5263fffff,1,0,0,0,0,0,0,0,0,0,0,1,36471.0,6,0,2,0,3,3,0,0,1,0,1,9
"POLYGON ((30.72825750459519 46.41379198563385, 30.732373833466177 46.4098218600404, 30.72936171293937 46.40561148454495, 30.722233618633886 46.405371063444484, 30.71811688658698 46.40934105884083, 30.72112865192795 46.413551605531026, 30.72825750459519 46.41379198563385))",7364.0,881e5d5201fffff,7,0,0,0,6,3,1,0,0,0,1,6,37535.0,14,4,5,0,5,12,5,0,3,2,2,16
"MULTIPOLYGON (((30.67835324734618 46.41209989993649, 30.67825461347651 46.411961869130494, 30.678113410193465 46.412330922751806, 30.67835324734618 46.41209989993649)), ((30.676717610376226 46.413675425051544, 30.6763687 46.4136158, 30.676054255092463 46.4143144011379, 30.676717610376226 46.413675425051544)))",34.0,881e5dc9b3fffff,0,0,0,0,0,0,0,0,0,0,0,0,39.0,0,0,0,0,0,0,0,0,0,0,0,0
"POLYGON ((30.69562291011008 46.416796804541505, 30.699741438737174 46.41282777249814, 30.696730647513004 46.408616491434024, 30.689601683693127 46.40837407138551, 30.685482752801637 46.41234297299523, 30.68849318790083 46.41655442508337, 30.69562291011008 46.416796804541505))",556.0,881e5d5261fffff,0,0,0,0,0,0,0,0,0,0,0,0,11078.0,1,0,0,0,0,0,0,0,0,0,0,1
"POLYGON ((30.717011424419905 46.41752124965815, 30.72112865192795 46.413551605531026, 30.71811688658698 46.40934105884083, 30.71098824917815 46.40909998514066, 30.70687061878072 46.41306949898425, 30.70988202858791 46.41728021680785, 30.717011424419905 46.41752124965815))",10898.0,881e5d520dfffff,5,0,2,0,1,1,0,0,1,0,0,6,42124.0,13,3,0,1,8,8,1,0,1,1,3,13
"POLYGON ((30.677243497259614 46.420279942462905, 30.684373761165322 46.42052297507902, 30.68849318790083 46.41655442508337, 30.685482752801637 46.41234297299523, 30.67835324734618 46.41209989993649, 30.678113410193465 46.412330922751806, 30.6775449 46.4138168, 30.676717610376226 46.413675425051544, 30.676054255092463 46.4143144011379, 30.67486625756354 46.41695377104223, 30.677243497259614 46.420279942462905))",18.0,881e5d526dfffff,0,0,0,0,0,0,0,0,0,0,0,0,674.0,0,0,0,0,0,0,0,0,0,0,0,0
"POLYGON ((30.705763902563508 46.42124937922113, 30.70988202858791 46.41728021680785, 30.70687061878072 46.41306949898425, 30.699741438737174 46.41282777249814, 30.69562291011008 46.416796804541505, 30.698633964035608 46.42100769343716, 30.705763902563508 46.42124937922113))",1914.0,881e5d526bfffff,0,0,0,0,0,0,0,0,0,0,0,0,30556.0,7,1,2,1,1,3,0,0,1,1,1,9
"POLYGON ((30.727153063898196 46.42197174324532, 30.73126988817868 46.418001968898494, 30.72825750459519 46.41379198563385, 30.72112865192795 46.413551605531026, 30.717011424419905 46.41752124965815, 30.720023452713093 46.42173140410411, 30.727153063898196 46.42197174324532))",6056.0,881e5d5209fffff,4,2,0,0,0,2,0,0,1,1,0,1,45142.0,19,2,4,1,10,23,1,0,2,0,2,21
"MULTIPOLYGON (((30.654739798927384 46.42772756987239, 30.657718812614128 46.42782963906022, 30.6554918 46.4276755, 30.654638234355303 46.42758541813829, 30.654739798927384 46.42772756987239)), ((30.665992367404577 46.42400432420357, 30.664476517824966 46.42188304971257, 30.6643845 46.4219234, 30.6640119 46.4221953, 30.6637514 46.4259408, 30.6625358 46.4258558, 30.66225569470098 46.427601695334154, 30.665992367404577 46.42400432420357)))",12.0,881e5dc9b9fffff,0,0,0,0,0,0,0,0,0,0,0,0,499.0,0,0,0,0,0,0,0,0,0,0,0,0
"POLYGON ((30.654739798927384 46.42772756987239, 30.654638234355303 46.42758541813829, 30.6536782 46.4274841, 30.6536634 46.4275356, 30.6536316 46.427798, 30.6498738 46.4285285, 30.65130243118346 46.431035670709804, 30.654739798927384 46.42772756987239))",125.0,881e5dc987fffff,0,0,0,0,0,0,0,0,0,0,0,0,838.0,0,0,0,0,0,0,0,0,0,0,0,0
"POLYGON ((30.65362730551482 46.435906244810006, 30.66075941013175 46.43615054418817, 30.664881129009125 46.43218331110476, 30.661980268261562 46.42812458878996, 30.657718812614128 46.42782963906022, 30.654739798927384 46.42772756987239, 30.65130243118346 46.431035670709804, 30.6517844 46.4318815, 30.6533897 46.4353285, 30.653382257721553 46.435563333016546, 30.65362730551482 46.435906244810006))",362.0,881e5dc983fffff,0,0,0,0,0,0,0,0,0,0,0,0,951.0,0,0,0,0,0,0,0,1,0,0,0,0
"POLYGON ((30.65362730551482 46.435906244810006, 30.653382257721553 46.435563333016546, 30.653363341006337 46.436160229427884, 30.65362730551482 46.435906244810006))",464.0,881e5dc981fffff,0,0,0,0,0,0,0,0,0,0,0,0,799.0,0,0,0,0,0,0,0,1,0,0,0,0
"POLYGON ((30.659647441470856 46.44432843449022, 30.66376965675241 46.44036155362004, 30.66075941013175 46.43615054418817, 30.65362730551482 46.435906244810006, 30.653363341006337 46.436160229427884, 30.653322 46.4374647, 30.6532999 46.4399135, 30.653257 46.4410942, 30.653046128577966 46.44410237772, 30.659647441470856 46.44432843449022))",312.0,881e5dc98bfffff,0,0,0,0,0,0,0,1,0,0,0,0,1189.0,0,0,0,0,0,1,0,0,0,0,0,0
"POLYGON ((30.651401616220955 46.452261360763615, 30.658535238761115 46.45250558002717, 30.662657950561442 46.44853905150855, 30.659647441470856 46.44432843449022, 30.653046128577966 46.44410237772, 30.6527379 46.4484994, 30.653185 46.4484977, 30.6532099 46.4510664, 30.6529507 46.4512007, 30.6525328 46.4514172, 30.6517989 46.4515597, 30.6508388 46.451453, 30.650816204201913 46.451442449917764, 30.651401616220955 46.452261360763615))",279.0,881e5dc9d5fffff,0,0,0,0,0,1,0,0,0,0,0,0,774.0,0,0,0,0,0,0,0,1,0,0,0,1
"POLYGON ((30.647278006180763 46.45622740600962, 30.651401616220955 46.452261360763615, 30.650816204201913 46.451442449917764, 30.6502224 46.4511652, 30.6454944 46.4509518, 30.64509004098922 46.45615230616644, 30.647278006180763 46.45622740600962))",340.0,881e5dc9c3fffff,0,0,0,0,0,0,0,0,0,0,0,0,553.0,0,0,0,0,0,1,0,0,0,0,0,0
"POLYGON ((30.669791032163104 46.44878261679946, 30.673912845601325 46.444815605255336, 30.670901979374936 46.440605159098, 30.66376965675241 46.44036155362004, 30.659647441470856 46.44432843449022, 30.662657950561442 46.44853905150855, 30.669791032163104 46.44878261679946))",52.0,881e5dc9d7fffff,0,0,0,0,0,0,0,0,0,0,0,0,2393.0,1,0,1,0,0,1,0,1,0,0,0,1
"POLYGON ((30.6911896288569 46.44951061696128, 30.69531014134152 46.44554299211479, 30.692298299061985 46.44133328033979, 30.68516630074831 46.44109102243694, 30.68104538579406 46.44505851675933, 30.68405687152949 46.4492683995049, 30.6911896288569 46.44951061696128))",5839.0,881e5dc8a5fffff,1,0,0,0,1,0,0,0,0,0,0,2,24695.0,2,1,2,0,0,1,0,0,0,1,0,7
"POLYGON ((30.71258724879288 46.450234573997, 30.71670645928906 46.44626633633187, 30.713693641888728 46.44205735923374, 30.706561969850707 46.441816448717134, 30.702442356259066 46.44578455600823, 30.70545481770718 46.44999370418628, 30.71258724879288 46.450234573997))",9955.0,881e5dc8a3fffff,0,0,0,0,1,0,0,0,0,1,3,2,41991.0,3,3,1,0,3,7,1,2,1,0,0,15
"POLYGON ((30.733983886069584 46.45095448847553, 30.738101793543834 46.446985638475944, 30.735088001955628 46.44277739634873, 30.72795665815964 46.44253783302838, 30.723838346964506 46.446506552804216, 30.726851783192604 46.450714966120465, 30.733983886069584 46.45095448847553))",2586.0,881e5dc8b1fffff,0,0,0,0,0,1,0,0,0,0,0,0,47752.0,9,7,4,2,5,28,0,1,0,1,0,10
"POLYGON ((30.679935460273363 46.453235541659424, 30.68405687152949 46.4492683995049, 30.68104538579406 46.44505851675933, 30.673912845601325 46.444815605255336, 30.669791032163104 46.44878261679946, 30.672802161006018 46.45299267045421, 30.679935460273363 46.453235541659424))",1416.0,881e5dc9d3fffff,0,0,1,0,0,0,0,0,0,0,0,0,18226.0,2,0,0,0,1,1,0,0,0,1,0,5
"POLYGON ((30.701334708030878 46.45396145949322, 30.70545481770718 46.44999370418628, 30.702442356259066 46.44578455600823, 30.69531014134152 46.44554299211479, 30.6911896288569 46.44951061696128, 30.69420173400444 46.45371993615794, 30.701334708030878 46.45396145949322))",6212.0,881e5dc8a1fffff,0,0,0,0,0,0,0,0,0,0,0,0,42511.0,2,1,1,0,3,4,0,2,0,2,3,12
